site_id,site_name,lat,lon,website,site_type,active
2_willow_road,2 Willow Road,51.5571646,-0.1691747,https://www.nationaltrust.org.uk/visit/london/2-willow-road,attraction;museum,True
575_wandsworth_road,575 Wandsworth Road,51.4697018,-0.1406549,https://www.nationaltrust.org.uk/575-wandsworth-road#Overview,attraction,True
a_la_ronde,A la Ronde,50.6416828,-3.4088263,https://www.nationaltrust.org.uk/a-la-ronde/,attraction,True
abbotsham_cliffs,Abbotsham Cliffs,51.0260006,-4.269251,,nature_reserve,True
abel_heath_open_access_land,Abel Heath - Open Access Land,52.7989323,1.2247396,,nature_reserve,True
aberconwy_house,Aberconwy House,53.2815602,-3.8285022,,attraction,True
aberdulais_tin_works_and_waterfall,Aberdulais Tin Works and Waterfall,51.6807065,-3.7777502,https://www.nationaltrust.org.uk/aberdulais-tinworks-and-waterfall/,attraction,True
acorn_bank,Acorn Bank,54.6475491,-2.5945981,https://www.nationaltrust.org.uk/acorn-bank,museum,True
agglestone_rock,Agglestone Rock,50.6451367,-1.9679797,,attraction,True
aira_force,Aira Force,54.5765825,-2.929574,https://www.nationaltrust.org.uk/aira-force-and-ullswater,attraction,True
alexander_keiller_museum,Alexander Keiller Museum,51.4290264,-1.8582668,,museum,True
alfriston_clergy_house,Alfriston Clergy House,50.8061415,0.1578023,https://www.nationaltrust.org.uk/alfriston-clergy-house/,attraction,True
allan_bank,Allan Bank,54.4601722,-3.0297802,https://www.nationaltrust.org.uk/allan-bank-and-grasmere,manor,True
alport_height,Alport Height,53.0608347,-1.5466504,,attraction,True
apollo_belvedere,Apollo Belvedere,51.8427331,-0.9362632,,attraction,True
arlington_court,Arlington Court,51.1471854,-3.9873155,https://www.nationaltrust.org.uk/visit/devon/arlington-court-and-the-national-trust-carriage-museum,attraction,True
ascott_house,Ascott House,51.8978355,-0.7021761,https://www.nationaltrust.org.uk/ascott,park,True
ashdown_house,Ashdown House,51.5363051,-1.594771,,house,True
ashdown_park,Ashdown Park,51.5380989,-1.5926126,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/ashdown,park,True
attingham_park,Attingham Park,52.6896165,-2.6654838,,attraction,True
avebury_manor,Avebury Manor,51.428956,-1.859111,,building,True
avebury_manor_garden,Avebury Manor Garden,51.428639,-1.8594187,,garden,True
badbury_hill,Badbury Hill,51.6492049,-1.6227889,https://www.nationaltrust.org.uk/badbury,attraction,True
badbury_rings,Badbury Rings,50.8263834,-2.0523396,https://www.nationaltrust.org.uk/visit/dorset/badbury-rings,archaeological_site,True
baddesley_clinton,Baddesley Clinton,52.3410068,-1.7085974,https://www.nationaltrust.org.uk/visit/warwickshire/baddesley-clinton,attraction,True
barrington_court,Barrington Court,50.9607725,-2.8583542,,attraction,True
basildon_park,Basildon Park,51.499087,-1.1215271,,yes,True
bateman_s,Bateman's,50.9893067,0.3794281,https://www.nationaltrust.org.uk/batemans/,attraction,True
belton_house,Belton House,52.9430835,-0.6177401,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/belton-estate,attraction,True
beningbrough_hall_gardens,Beningbrough Hall & Gardens,54.0221006,-1.2112642,https://www.nationaltrust.org.uk/beningbrough-hall/,attraction,True
benthall_hall,Benthall Hall,52.6202332,-2.5065174,https://www.nationaltrust.org.uk/benthall-hall/,attraction,True
